Track ID,Track Name,Album Name,Artist Name(s),Duration (ms),Popularity,Genres,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0Bq0OZoSo05djGSp80EDoo,I'm Yer Dad,Daddy,GRLwood,144108,54,,0.551,0.953,0,-4.695,0.17,0.0106,0.474,0.118,0.177,128.459,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,210373,93,,0.747,0.507,2,-10.171,0.0358,0.2,0.0608,0.117,0.438,104.978,4
1CS7Sd1u5tWkstBhpssyjP,Take Me to Church,Hozier (Expanded Edition),Hozier,241693,76,,0.566,0.664,4,-5.303,0.0464,0.634,0,0.116,0.437,128.945,4
1Xtz05nIgJiEYdncfd1w8h,Soledad y el Mar (feat. Los Macorinos),"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)","Natalia Lafourcade,Los Macorinos",214546,61,"latin folk,bolero,latin indie,latin alternative,trova",0.726,0.177,1,-14.824,0.0353,0.896,0.00000214,0.116,0.618,92.934,4
5uN1hNNxRAB9VGaKNRQPQO,Hail Gnaw,Hail Gnaw,Dissinfectant Wipes,188000,0,,0.929,0.261,0,-15.611,0.465,0.796,0,0.116,0.529,120.002,3
35mBYyB61qTcGGj7MXIRM1,Cpr,Queen Elizabitch,cupcakKe,208463,58,,0.814,0.754,7,-7.571,0.113,0.0347,0.00105,0.115,0.534,103.028,4
4qG7hWhljsqqENL5PaLA2z,Let The Light In (feat. Father John Misty),Did you know that there's a tunnel under Ocean Blvd,"Lana Del Rey,Father John Misty",278126,74,chamber pop,0.335,0.44,9,-9.748,0.0275,0.385,0.00251,0.115,0.198,132.449,4
2iQYqdalv245vrCEM4W9N9,NFWMB,Nina Cried Power - EP,Hozier,259253,50,,0.379,0.373,3,-12.176,0.0309,0.895,0.0718,0.115,0.352,176.002,1
5dIwNqohJfrs1SaOxxI99y,My Marmalade (TikTok Version),My Marmalade (TikTok Version),Katya Lel,201000,3,,0.755,0.716,2,-4.226,0.0482,0.0215,0.00000118,0.114,0.89,134.432,4
0thLhIqWsqqycEqFONOyhu,Lone Digger,<|º_º|>,Caravan Palace,229804,0,"electro swing,swing music,nu jazz",0.769,0.924,5,-5.263,0.051,0.596,0.0156,0.114,0.88,123.989,4
1CZgbcEZEhHH28HcBFvQIW,Never Ever Getting Rid of Me,Waitress (Original Broadway Cast Recording),"Christopher Fitzgerald,Kimiko Glenn,Waitress Original Broadway Cast Ensemble",136200,59,musicals,0.622,0.542,7,-6.215,0.051,0.387,0,0.114,0.939,174.494,4
